What is the capital of Lebanon?,Beirut,Geography
What is the capital of Lesotho?,Maseru,Geography
What is the capital of Liberia?,Monrovia,Geography
What is the capital of Libya?,Tripoli,Geography
What is the capital of Liechtenstein?,Vaduz,Geography
What is the capital of Lithuania?,Vilnius,Geography
What is the capital of Luxembourg?,Luxembourg (city),Geography
What is the capital of Madagascar?,Antananarivo,Geography
What is the capital of Malawi?,Lilongwe,Geography
What is the capital of Malaysia?,Kuala Lumpur,Geography
What is the capital of Maldives?,Male,Geography
What is the capital of Mali?,Bamako,Geography
What is the capital of Malta?,Valletta,Geography
What is the capital of Marshall Islands?,Majuro,Geography
What is the capital of Mauritania?,Nouakchott,Geography
What is the capital of Mauritius?,Port Louis,Geography
What is the capital of Mexico?,Mexico City,Geography
What is the capital of Micronesia?,Palikir,Geography
What is the capital of Moldova?,Chisinau,Geography
What is the capital of Monaco?,Monaco,Geography
What is the capital of Mongolia?,Ulaanbaatar,Geography
What is the capital of Montenegro?,Podgorica,Geography
What is the capital of Morocco?,Rabat,Geography
What is the capital of Mozambique?,Maputo,Geography
What is the capital of Namibia?,Windhoek,Geography
What is the capital of Nauru?,Yaren District (de facto),Geography
What is the capital of Nepal?,Kathmandu,Geography
What is the capital of Netherlands?,Amsterdam,Geography
What is the capital of New Zealand?,Wellington,Geography
What is the capital of Nicaragua?,Managua,Geography
What is the capital of Niger?,Niamey,Geography
What is the capital of Nigeria?,Abuja,Geography
What is the capital of North Korea?,Pyongyang,Geography
What is the capital of Norway?,Oslo,Geography
What is the capital of Oman?,Muscat,Geography
What is the capital of Pakistan?,Islamabad,Geography
What is the capital of Palau?,Ngerulmud,Geography
What is the capital of Palestine?,Jerusalem (East),Geography
What is the capital of Panama?,Panama City,Geography
What is the capital of Papua New Guinea?,Port Moresby,Geography
What is the capital of Paraguay?,Asunción,Geography
What is the capital of Peru?,Lima,Geography
What is the capital of Philippines?,Manila,Geography
What is the capital of Poland?,Warsaw,Geography
What is the capital of Portugal?,Lisbon,Geography
What is the capital of Qatar?,Doha,Geography
What is the capital of Romania?,Bucharest,Geography
What is the capital of Russia?,Moscow,Geography
What is the capital of Rwanda?,Kigali,Geography
What is the capital of Saint Kitts and Nevis?,Basseterre,Geography
What is the capital of Saint Lucia?,Castries,Geography
What is the capital of Saint Vincent and the Grenadines?,Kingstown,Geography
What is the capital of Samoa?,Apia,Geography
What is the capital of San Marino?,San Marino,Geography
What is the capital of Sao Tome and Principe?,São Tomé,Geography
What is the capital of Saudi Arabia?,Riyadh,Geography
What is the capital of Senegal?,Dakar,Geography
What is the capital of Serbia?,Belgrade,Geography
What is the capital of Seychelles?,Victoria,Geography
What is the capital of Sierra Leone?,Freetown,Geography
What is the capital of Singapore?,Singapore,Geography
What is the capital of Slovakia?,Bratislava,Geography
What is the capital of Slovenia?,Ljubljana,Geography
What is the capital of Solomon Islands?,Honiara,Geography
What is the capital of Somalia?,Mogadishu,Geography
What is the capital of South Africa?,"Pretoria (administrative),",Geography
What is the capital of South Korea?,Seoul,Geography
What is the capital of South Sudan?,Juba,Geography
What is the capital of Spain?,Madrid,Geography
What is the capital of Sri Lanka?,Sri Jayawardenepura Kotte,Geography
What is the capital of Sudan?,Khartoum,Geography
What is the capital of Suriname?,Paramaribo,Geography
What is the capital of Sweden?,Stockholm,Geography
What is the capital of Switzerland?,Bern,Geography
What is the capital of Syria?,Damascus,Geography
What is the capital of Taiwan?,Taipei,Geography
What is the capital of Tajikistan?,Dushanbe,Geography
What is the capital of Tanzania?,Dodoma,Geography
What is the capital of Thailand?,Bangkok,Geography
What is the capital of Timor-Leste?,Dili,Geography
What is the capital of Togo?,Lomé,Geography
What is the capital of Tonga?,Nukuʻalofa,Geography
What is the capital of Trinidad and Tobago?,Port of Spain,Geography
What is the capital of Tunisia?,Tunis,Geography
What is the capital of Turkey?,Ankara,Geography
What is the capital of Turkmenistan?,Ashgabat,Geography
What is the capital of Tuvalu?,Funafuti,Geography
What is the capital of Uganda?,Kampala,Geography
What is the capital of Ukraine?,Kyiv (also known as Kiev),Geography
What is the capital of United Arab Emirates?,Abu Dhabi,Geography
What is the capital of United Kingdom?,London,Geography
What is the capital of United States of America?,"Washington, D.C.",Geography
What is the capital of Uruguay?,Montevideo,Geography
What is the capital of Uzbekistan?,Tashkent,Geography
What is the capital of Vanuatu?,Port Vila,Geography
What is the capital of Vatican City (Holy See)?,Vatican City,Geography
What is the capital of Venezuela?,Caracas,Geography
What is the capital of Vietnam?,Hanoi,Geography
What is the capital of Yemen?,Sana'a,Geography
What is the capital of Zambia?,Lusaka,Geography
What is the capital of Zimbabwe?,Harare,Geography
